Year,GDP_Real_Growth_YoY_pct,GDP_Current_USD,GDP_Per_Capita_USD,Agriculture_Value_Added_pct_GDP,Industry_Value_Added_pct_GDP,Services_Value_Added_pct_GDP
2017,6.9402,281353605986.903,2956.1099,12.9299,35.3904,42.5807
2018,7.465,310106478394.659,3222.31,12.3067,36.5424,42.1709
2019,7.3593,334365270496.667,3440.9003,11.7845,36.8031,42.4687
2020,2.8654,346615738537.796,3534.0395,12.6554,36.7437,41.8312
2021,2.5537,366474752771.009,3704.1936,12.6031,37.3915,41.2574
2022,8.5375,413445230668.578,4147.6978,11.8803,38.4824,41.1356
2023,4.9787,433805036898.465,4322.8257,11.8713,37.5933,42.2803
2024,7.0396,476324572783.807,4716.6599,12.0289,37.5163,42.3542
